Album,Song,Year,Total_Streams,Daily,Lyrics
Reputation,SoItGoes,2017,115645290,129139,see dark eyes magician eyes us make everyone disappear cut pieces gold cage hostage feelings back wall tripping your gone precious cause break little get alone simple cause baby know know feel chorus pieces fall right place getting caught moment lipstick face goes im keep im lose know im bad girl bad things goes verse 2 met bar eyes illusionist eyes us make gray days clear wear like necklace im chill make jealous got heart skipping im gone precious cause break little get alone simple cause baby know know feel might also pieces fall right place getting caught moment lipstick face goes im keep im lose know im bad girl bad things goes refrain come dressed black goes scratches back goes bridge number honestly baby whos counting number honestly baby whos counting number honestly baby whos counting whos counting one two three chorus pieces fall pieces fall right place getting caught moment caught caught lipstick face goes im keep oh im lose baby know im bad girl bad things goes refrain come dressed black goes scratches back goes come dressed black goes scratches back
Lover,SoonYoullGetBetter,2019,104953178,101270,buttons coat tangled hair doctors office lighting didn't tell scared first time holy orange bottles night pray desperate people find faith pray jesus say chorus taylor swift chicks ooh soon youll get better ooh soon youll get better ooh youll get better soon cause verse 2 taylor swift know delusion see mirror like nicer nurses make best bad deal pretend isn't real ill paint kitchen neon ill brighten sky know ill never get theres day wont try say chorus taylor swift chicks ooh soon youll get better ooh soon youll get better ooh youll get better soon cause bridge taylor swift chicks hate make supposed talk supposed theres precious taylor swift wont go back normal ever years hoping keep saying cause might also taylor swift chicks ooh youll get better ooh soon youll get better ooh youll get better soon ooh soon youll get better ooh soon youll get better ooh youll get better soon cause
SpeakNow,SparksFly,2010,147511586,236956,way move like full rainstorm im house cards your kind reckless send runnin kinda know wont get far stood front close enough touch close enough hope couldnt see thinkin chorus drop everything meet pouring rain kiss sidewalk take away pain cause see sparks fly whenever smile get green eyes baby lights go give something that'll haunt your around cause see sparks fly whenever smile verse 2 mind forgets remind your bad idea touch really somethin find im even better imagined would im guard rest world know good could wait patiently really wish would chorus drop everything meet pouring rain kiss sidewalk take away pain cause see sparks fly whenever smile get green eyes baby lights go give something that'll haunt your around cause see sparks fly whenever smile might also run fingers hair watch lights go wild keep keeping eyes wrong enough make feel right lead staircase wont whisper soft slow im captivated baby like firework show chorus drop everything meet pouring rain kiss sidewalk ahah take away pain cause see sparks fly whenever smile get green eyes baby lights go give something that'll haunt your around cause see sparks fly whenever smile outdo sparks fly oh baby smile sparks
SpeakNow,SpeakNow,2010,112339836,244891,kind girl rudely bargain white veil occasion kind boy marrying wrong girl sneak see friends snotty little family dressed pastel yelling bridesmaid somewhere back inside room wearing gown shaped like pastry precious surely thought would lose daydream stand say chorus dont say yes run away ill meet your church back door dont wait say single vow need hear said speak verse 2 fond gestures exchanged organ starts play song sounds like death march hiding curtains seems uninvited lovely might also floats aisle like pageant queen know wish wish dont chorus dont say yes run away ill meet your church back door dont wait say single vow need hear said speak dont say yes run away run away ill meet your church back door dont wait say single vow say single vow time running said speak ooh run away la ooh say single vow ooh bridge hear preacher say speak forever hold peace theres silence theres last chance stand shaky hands eyes horrified looks everyone room im lookin verse 3 kind girl rudely bargain white veil occasion kind boy marrying wrong girl haha chorus dont say yes run away ill meet your church back door dont wait say single vow need hear said speak say lets run away run away ill meet im tux back door baby didn't say vows say single vow glad around said speak
Red,Starlight,2012,40854169,9225,said oh marvelous tune best night never would forget moved whole place dressed nines dancing dancing like made starlight like made starlight verse 1 met bobby boardwalk summer 45 picked late one night window 17 crazy running wild wild cant remember song playing walked night snuck yacht club party pretending duchess prince chorus said oh marvelous tune best night never would forget moved whole place dressed nines dancing dancing like made starlight starlight like made starlight starlight verse 2 said i look worrying much things cant change youll spend whole life singing blues keep thinking way trying skip rocks ocean saying dont see starlight starlight dont dream impossible things chorus like oh marvelous tune best night never would forget moved whole place dressed nines dancing dancing like made starlight starlight like made starlight starlight bridge ooooh hes talking crazy ooooh dancing ooooh could get married ten kids teach em dream might also solo chorus oh marvelous tune best night never would forget moved whole place dressed nines dancing dancing like made starlight starlight like made starlight starlight breakdown like made starlight starlight like dream impossible dreams like starlight starlight like dream impossible dreams outdo dont see starlight starlight dont dream impossible
Red,StateofGrace,2012,57190047,13712,im walking fast traffic lights busy streets busy lives know touch go alone changing minds fall love til hurts bleeds fades time chorus never never saw coming i never never verse 2 come around armor falls pierce room like cannonball know i let go alone room slates clean twin fire signs four blue eyes precious never saint ive loved shades wrong learn live pain mosaic broken hearts love brave wild chorus never never saw coming i never never bridge state grace worthwhile fight love ruthless game unless play good right hands fate i achilles heel golden age something good right real might also never never saw coming i never chorus never never saw coming i never never saint ive loved shades wrong learn live pain mosaic broken hearts love brave wild outdo state grace worthwhile fight love ruthless game unless play good
TaylorSwift,StayBeautiful,2006,24252618,27719,cores eyes like jungle smiles like radio whispers songs window words nobody knows theres pretty girls every corner watch hes walking home saying know ever know chorus your beautiful every little piece love dont know your really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful verse 2 cory finds another way highlight day im taking pictures mind save em rainy day hard make conversation hes taking breath away say hey way chorus your beautiful every little piece love dont know your really gon na someone ask anyone find everything looked hope life leads back door oh dont stay beautiful bridge story never gets told daydream ill never get hold least youll know chorus your beautiful every little piece love dont know your really gon na someone ask anyone find everything looked hope life leads back front door oh dont stay beautiful beautiful beautiful beautiful beautiful beautiful might also lalala oooh oh dont stay beautiful stay beautiful banana
Red,StayStayStay,2012,53696015,13106,im pretty sure almost broke last night threw phone across room expecting dramatic turn away stayed morning said talk cause read never leave fight unresolved thats came wearing football helmet said okay lets talk said chorus stay stay stay ive loving quite time time time think funny im mad mad mad think best stay verse 2 id dated takers took problems carry groceries im always laughing love given choice chorus stay stay stay ive loving quite time time time think funny im mad mad mad think best stay stay stay stay bridge took time memorize fears hopes dreams like hanging time times didn't leave occurring id like hang whole life might also stay ill loving quite time one else gon na love get mad mad mad think best stay stay stay stay stay stay chorus stay stay stay ive loving quite time time time think funny im mad mad mad think best stay stay stay stay stay stay outdo stay stay stay ive loving quite time time time think funny im mad mad mad think best stay hahaha
1989,Style,2014,677473988,1606181,midnight come pick headlights long drive could end burning flames paradise fade view oh since even heard heard precious tell leave cause know exactly leads watch us go round round time chorus got james dean daydream look eye got red lip classic thing like go crashing come back every time cause never go style never go style got long hair slicked back white shirt got good girl faith tight little skirt go crashing come back every time cause never go style never go style verse 2 goes cant keep wild eyes road mom takes home lights hes taking coat mom yeah say heard oh youve girl girl precious says heard true cant stop thinking bout said ive times chorus cause got james dean daydream look eye got red lip classic thing like go crashing come back every time cause never go style never go style got long hair slicked back white shirt got good girl faith tight little skirt tight little skirt go crashing come back every time cause never go style never go never go never go style might also take home take home yeah take home ooh woah oh style chorus oh got james dean daydream look eye got red lip classic thing like go crashing go come back every time cause never go style never go
Midnights,SweetNothing,2022,166874192,498981,spy little tired eye tiny firefly pebble picked last july deep inside pocket almost forgot ever miss willow sometimes ooh ooh chorus said end comin everyone i somethin find runnin home sweet nothings outside i push shoving your kitchen humming ever wanted sweet nothin verse 2 way home wrote poem say mind happens time ooh ooh chorus cause said end comin everyones somethin i find runnin i home sweet nothings outside there push shoving i your kitchen humming ever wanted nothin bridge industry disruptors soul constructors huckster voices implore admit i soft ooh chorus said end comin everyones somethin find runnin home sweet nothings outside there push shoving your kitchen humming ever wanted sweet nothin said end comin said end comin everyones somethin everyones somethin find runnin home sweet nothings outside there push shoving outside there push shoving your kitchen humming your kitchen humming ever wanted sweet nothingyou might also
TaylorSwift,TeardropsOnMyGuitar,2006,12603819,3156,drew looks fake smile wont see want im needing everything precious ill bet shes beautiful girl talks shes got everything live without verse 2 drew talks laugh cause funny cant even see anyone hes precious says hes love hes finally got right wonder knows hes think night chorus hes reason teardrops guitar thing keeps within wishing star hes song car keep singing dont know verse 3 drew walks tell cant breathe goes perfectly kind flawless wish could precious shed better hold tight give love look beautiful eyes know shes lucky cause chorus hes reason teardrops guitar thing keeps within wishing star hes song car keep singing dont know precious ill drive home alone turn light ill put picture maybe get sleep tonight might also cause hes reason teardrops guitar one whos got enough break heart hes song car keep singing dont know outdo hes time taken theres never enough hes need fall drew looks fake smile wont
Fearless,TellMeWhy,2008,28379914,11082,took chance took shot might think im bulletproof im took swing took hard ground see chorus im sick tired attitude im feeling like dont know tell love cut need like heartbeat know got mean streak makes run cover your around heres temper yes remember said last night know see your tell verse 2 could write book ruin someones perfect day well get confused frustrated forget im trying say oh chorus im sick tired reasons got one believe tell want push around need like heartbeat know got mean streak makes run cover your around heres temper yes remember said last night know see your tell might also make feel small feel whole inside put dreams your thing mind chorus im sick tired attitude im feeling like dont know tell want cut im sick tired reasons ive got one believe ask love push around heres temper yes remember said last night know see your tell tell outdo take step back let go told im bulletproof
Folklore,the1,2020,378531137,448629,im good im new shit saying yes instead thought saw bus stop didn't though hit ground running night hit sunday matinee know greatest films time never made precious guess never know never know wanted really shouldve showed never bleed your never gon na grow alright chorus something dont think roaring twenties tossing pennies pool wishes came true wouldve defense none never leaving well enough alone wouldve fun wouldve one ooh verse 2 dream your cool shit adventures meet woman internet take home never painted numbers baby making count know greatest loves time might also guess never know never know another day waking alone chorus something dont think roaring twenties tossing pennies pool wishes came true wouldve defense none never leaving well enough alone wouldve fun wouldve one bridge persist resist temptation ask one thing different would everything different today chorus something dont think rose flowing chosen family wouldve sweet couldve defense none digging grave another time wouldve fun wouldve one
Lover,TheArcher,2019,233058569,343922,combat im ready combat say dont want cause cruelty wins movies ive got hundred brownout speeches almost said precious easy come easy go jump train ride alone never grew getting old help hold chorus ive archer ive prey could ever leave darling could stay verse 2 dark side search dark side im alright right right right cut nose spite face hate reflection years years precious wake night pace like ghost room fire invisible smoke heroes die alone help hold chorus ive archer ive prey screaming could ever leave darling could stay see right see right bridge cause see right see right see right see right see right see right see right see right might also kings horses kings men couldnt put together cause enemies started friends help hold chorus ive archer ive prey could ever leave darling could stay see right see right could stay could stay could stay could stay could stay outdo combat im ready
Fearless,TheBestDay,2008,35504206,14985,im five years old getting cold ive got big coat hear laugh look smiling run run past pumpkin patch tractor rides look sky gold hug legs fall asleep way home chorus dont know trees change fall know your scared anything dont know snow whites house near far away know best day today verse 2 im thirteen dont know friends could mean come home crying hold tight grab keys drive drive found town far enough away talk window shop til ive forgotten names chorus dont know im going talk school know im laughing car ride home dont know long going take feel okay know best day today might also excellent father strength making stronger god smiles little brother inside hes better grew pretty house space run best days verse 3 video found back three set paint set kitchen your talking age princesses pirate ships seven dwarfs daddys smart your prettiest lady whole wide world chorus know trees change fall know side even wrong love giving eyes staying back watching shine didn't know knew im taking chance say best day
Folklore,thelastgreatamericandynasty,2020,237681708,256904,rebekah rode train sunny sandbox house coast took mind it louis bill heir standard oil name money town said middleclass divorce wedding charming little gauche theres far new money goes picked home called holiday house parties tasteful little loud doctor told settle must fault heart gave chorus said goes last great american dynasty knows never showed couldve goes maddest woman town ever seen marvelous time ruining everything verse 2 rebekah gave rhode island set forever flew bitch pack friends city filled pool champagne swam big names blew money boys ballet losing card game bets dale might also said goes last great american dynasty knows never showed couldve goes shameless woman town ever seen marvelous time ruining everything bridge say seen occasion pacing rocks staring midnight sea feud neighbor stole dog dyed key lime green fifty years long time holiday house sat quietly beach free women madness men bad habits bought chorus knows never showed couldve goes loudest woman town ever seen marvelous time ruining everything outdo marvelous time ruining everything marvelous time ruining everything marvelous time marvelous
Red,TheLastTime,2012,67870858,98154,find door like times i sure got roads lead imagine home room alone open eyes mine everything feels better precious right eyes im breaking past reasons chorus last time im asking put name top list last time im asking break heart blink eye eye eye verse 2 taylor find door like times wear best apology watch leave times let go disappear come back everything better precious right eyes im aching run fast nowhere hide chorus last time im asking put name top list last time im asking break heart blink eye eye eye might also solo bridge taylor gary last time tell ive got wrong last time say along last time let door last time wont hurt anymore ohio ohio ohio ohio ohio ohio ohio ohio chorus last time im asking put name top list last time im asking break heart blink eye taylor gary last time im asking last time im asking put name top list put name top list last time im asking last time im asking break heart blink eye break heart outdo last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking last time im asking
Red,TheLuckyOne,2012,41322965,9310,new town makeup name angels city chasing fortune fame camera flashes make look like dream figured since school everybody loves pretty everybody loves cool overnight look like sixties queen precious 1 another name goes lights like diamonds sky chorus 1 i tell i lucky one yeah i tell i lucky one tell i lucky one oh oh oh verse 2 i big black cars riviera views lover foyer i even know secrets end splashed news front page tell i lucky i confused cause i feel pretty feel used young things line take place precious 2 another name goes lights wonder i make alive chorus 1 i tell i lucky one yeah i tell i lucky one tell i lucky one oh oh oh verse 3 years later showed still tell legend disappeared took money dignity got hell say bought bunch land somewhere chose rose garden madison square took time understand might also 3 cause name lights think got right chorus 2 let tell i lucky one let tell i lucky one let tell i lucky one oh oh oh i tell i lucky one yeah i tell i lucky one i tell i lucky one oh oh oh oh whoa oh
Lover,TheMan,2019,481449240,580877,would complex would cool theyd say played field found someone commit would okay every conquest made would make boss precious i fearless leader id alpha type everyone believes ya whats like chorus i sick running fast wondering id get quicker man im sick comin cause man id man id man man i man man verse 2 i say hustled put work wouldnt shake heads question much deserve wearing rude could separated good ideas power moves precious would toast oh any let players play i like leo chorus im sick running fast wondering id get quicker man i sick comin cause man id man id man man id man man bridge whats like brag raking dollars getting bitches models good your bad okay your mad flashing dollars id bitch baller theyd paint bad okay im mad might also im sick running fast wondering id get quicker man know im sick comin comin cause man man id man id man im sick running fast fast wondering id get quicker man hey im sick comin comin cause man man id man id man man id man man oh id man man yeah id man man id man outdo man id
Red,TheMomentIKnew,2012,30520190,5180,shouldve shouldve burst door baby im right smile wouldve felt like million little shining stars aligned wouldve happy verse 2 christmas lights glisten ive got eye door waiting walk time ticking people ask ive comb back memory said youd said youd chorus like slow motion standing party dress red lipstick one impress there laughing im looking around room one thing missing moment knew verse 3 hours pass wan na alone close friends always seem know theres something really wrong follow hall bathroom try fall apart sinking feeling starts say hopelessly said hed chorus like slow motion standing party dress red lipstick one impress there laughing asking one thing missing missing moment knew might also say tears streaming face front everyone know one means one didn't show breakdown shouldve wouldve happy chorus like slow motion standing party dress red lipstick one impress there standing around singing happy birthday one thing missing moment knew knew outdo called later said im sorry didn't make said im sorry moment
TaylorSwift,TheOutside,2006,19223806,27930,didn't know would find went looking reason know didn't read lines baby ive got nowhere go precious tried take road less traveled nothing seems work first times right chorus ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside verse 2 saw never knew would give part part late see precious couldve helped wanted one notices late anything chorus ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside might also oh yeah chorus ever try better nobody ever lets still see aint best view outside looking ive lot lonely places ive never outside outdo ooh oh ooh ooh
SpeakNow,TheStoryOfUs,2010,130224865,169421,used think one day wed tell story us met sparks flew instantly people would say there lucky ones used know place spot next im searching room empty seat cause lately dont even know page your precious oh simple complication miscommunication lead fallout many things wish knew many walls cant break chorus im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy next chapter might also 2 how end way see nervously pulling clothes trying look busy your best avoid im starting think one day ill tell story us losing mind saw held pride like shouldve held precious oh im scared see ending pretending nothing id tell miss dont know ive never heard silence quite loud chorus im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy bridge looking like contest act like care less liked better side battles hands would lay armor said youd rather love fight precious many things wish knew story us might ending soon chorus im standing alone crowded room speaking im dying know killing like killing yeah dont know say since twist fate broke story us looks lot like tragedy speaking im dying know killing like killing yeah dont know say since twist fate cause goin story us looks lot like tragedy outdo
Fearless,TheWayILovedYou,2008,60958450,35921,sensible incredible single friends jealous says everything need hear like couldnt ask anything better opens door get car says look beautiful tonight feel perfectly fine chorus miss screaming fighting kissing rain am im cursing name your love act insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved verse 2 respects space never makes wait calls exactly says hes close mother talks business father hes charming endearing im comfortable might also miss screaming fighting kissing rain am im cursing name your love acted insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved bridge cant see smile im faking hearts breaking cause im feeling anything wild crazy frustrating intoxicating complicated got away mistake chorus miss screaming fighting kissing rain am im cursing name im love acted insane thats way loved breaking coming undone roller coaster kind rush never knew could feel much thats way loved oh oh outdo thats way loved oh oh never knew could feel much thats way loved
Folklore,thisismetrying,2020,240498214,310526,ive hard time adjusting shiniest wheels there rusting didn't know youd care came back lot regrets pulled car road lookout couldve followed fears way maybe dont quite know say im doorway chorus wanted know trying wanted know trying verse 2 told cages mental got wasted like potential words shoot kill im mad lot regrets ahead curve curve became sphere fell behind classmates ended pouring heart stranger didn't pour whiskey chorus wanted know trying wanted know trying might also least im trying bridge hard party feel like open wound hard anywhere days want your flashback film reel one screen town chorus wanted know trying maybe dont quite know say wanted know trying outdo least im
Reputation,ThisIsWhyWeCantHaveNiceThings,2017,145333253,168598,nice throwing big parties jump pool balcony everyone swimming champagne sea rules show bass beat rattling chandelier feeling gatsby whole year precious why rain parade im shaking head locking gates chorus cant nice things darling break take away cant nice things honey oh think wouldnt hear things said cant nice things verse 2 nice friends giving second chance stabbed back shaking hand therein lies issue friends dont try trick get phone took axe mended fence precious im friend youve lost lately ummm werent shady chorus cant nice things darling yeah break take away cant nice nice things things baby honey think wouldnt hear things said cant have might also heres toast real friends dont care said shepard heres baby aint reading call lately heres mama listen drama heres cause forgiveness nice thing haha cant even say straight face chorus cant nice things darling darling break take away cant nice huh things oh honey baby oh think wouldnt hear things said cant nice things darling heres real friends break take heres baby nice things honey didn't care said shepard think wouldnt hear things said cant nice
1989,ThisLove,2014,87550177,64977,clear blue water high tide came brought could go skies grew darker currents swept gone gone gone gone precious silent screams wildest dreams never dreamed chorus love good love bad love alive back dead ooh oh hands let go free love came back ooh oh ooh ooh oh verse 2 tossing turning struggled night someone new baby could go lantern burning flickered mind still gone gone gone precious losing grip sinking ships showed time chorus love good love bad love alive back dead ooh oh hands let go free love came back ooh oh love left permanent mark love glowing dark ooh oh hands let go free love came back ooh oh might also love love love love ooh oh love love love love ooh oh love love love love ooh oh love love love love bridge kiss cheek watched leave smile ghost fell knees your young run come back need chorus love good love bad love alive back dead ooh oh hands let go free love came back ooh oh love love left permanent mark love love glowing dark ooh oh love hands let go free love love came back ooh oh love love love love ooh oh love love love love ooh oh love love love love love love came back ooh
TaylorSwift,TiedTogetherwithaSmile,2006,22038546,26902,seems one doesn't see beauty face mirror looking back walk around thinking your pretty thats true cause know chorus hold baby your losing waters high your jumping letting go one knows cry dont tell anyone might golden one your tied together smile your coming undone oh verse 2 guess true love wanted cause your giving away like extra change hoping end pocket pocket leaves like penny rain oh cause price pay price pay chorus hold baby your losing waters high your jumping letting go one knows cry dont tell anyone might golden one your tied together smile your coming undone oh oh oh chorus hold baby your losing waters high your jumping letting go one knows cry dont tell anyone might golden one your tied together smile your coming undone oh might also your tied together smile your coming undone oh ooh goodbye baby smile baby baby
TaylorSwift,TimMcGraw,2006,94675276,104897,said way blue eyes shined put georgia stars shame night said thats lie boy chevy truck tendency gettin stuck backwoods night right beside summer long time woke find summer gone chorus think tim craw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim craw hope think verse 2 september saw month tears thanking god werent see like box beneath bed letter never read three summers back hard find little bittersweet lookin back nice believe chorus think tim craw hope think favorite song one danced night long moon like spotlight lake think happiness hope think little black dress think head chest old faded blue jeans think tim craw hope think bridge im back first time since im standin street theres letter left doorstep first thing youll read might also think tim craw hope think favorite song someday youll turn radio hope takes back place think happiness hope think little black dress think head chest old faded blue jeans think tim craw hope think outdo oh think mom said way blue eyes shined put georgia stars shame night said thats
Evermore,tisthedamnseason,2020,167767327,191620,wanted know hanging gone wouldve asked kind cold fogs windshield glass felt passed theres ache put ache chorus could call even could call babe weekend otis damn season write im staying parents house road taken looks real good always leads hometown verse 2 parked car right methodist the school used holidays linger like bad perfume run far escaped remember watched leave okay okay chorus could call even could call babe weekend otis damn season write im staying parents house road taken looks real good time flies messy mud truck tires im missing smile hear could ride around road taken looks real good always leads hometown might also sleep half day old times sake wont ask wait dont ask stay ill go back la called friends whole write books ever make wonder soul tell smiles im faking heart know im breaking leave warmest bed ive ever known could call even even though im leaving ill weekend otis damn season chorus could call even could call babe weekend otis damn season write im staying parents house road taken looks real good time flies messy mud truck tires im missing smile hear could ride around road taken looks real good always leads hometown outdo always leads
Evermore,tolerateit,2020,169070686,235512,sit watch reading head low wake watch breathing eyes closed sit watch notice everything dont your much older wiser chorus 1 wait door like im kid use best colors portrait lay table fancy shit watch tolerate head tell tell ive got wrong somehow know love celebrated tolerate verse 2 greet battle hero welcome take indiscretions good fun sit listen polish plates gleam glisten your much older wiser chorus 1 wait door like im kid use best colors portrait lay table fancy shit watch tolerate head tell tell ive got wrong somehow know love celebrated tolerate might also building worlds wheres man who throw blankets barbed wire made temple mural sky im begging footnotes story life drawing hearts byline always taking much space time assume im fine would chorus 2 break free leave us ruins took dagger removed gain weight lose believe could head tell tell ive got wrong somehow know love celebrated tolerate outdo sit watch
Red,Treacherous,2012,52115126,10983,put lips close mine long dont touch focus eye eye til gravity much ill anything say say hands id smart walk away your quicksand chorus slope treacherous path reckless slope treacherous iii like verse 2 cant decide choice getting swept away hear sound voice asking stay skin bone trained get along forever going flow your friction chorus slope treacherous path reckless slope treacherous like bridge two headlights shine sleepless night get get alone name echoed mind think think know nothing safe worth drive would follow follow home ill follow follow home chorus hope treacherous daydream dangerous hope treacherous iii iii iii might also two headlights shine sleepless night get get alone name echoed mind think think know nothing safe worth drive would follow follow home ill follow follow home ill follow follow home ill follow follow home outdo slope treacherous iii like
Midnights,VigilanteShit,2022,223808065,651082,draw cat eye sharp enough kill man bad things im worst sometimes wonder one'll last lie say looks kill might try dont dress women dont dress men lately ive dressing revenge chorus dont start shit tell ends dont get sad get even weekends dont dress friends lately ive dressing revenge verse 2 needed cold hard proof gave envelope think got gets house gets kids gets pride picture thick thieves wife looks pretty drivin benz lately shes dressing revenge chorus dont start shit tell ends dont get sad get even weekends dont dress friends lately shes dressing revenge bridge ladies always rise ladies know people want someone sweet kind fun lady simply enough verse 3 doin lines crossing mine someone told crimes fbi dont dress villains innocents im vigilante shit might also dont start shit tell ends dont get sad get even weekends dont dress friends lately ive dressing
Red,WeAreNeverEverGettingBackTogether,2012,153551600,443642,remember broke first time sayin ive enough cause like hadnt seen month said needed space come around say baby miss swear im gon na change trust remember lasted day say hate break call love precious ooh called last night ooh time im telling im telling chorus never ever ever getting back together never ever ever getting back together go talk friends talk friends talk never ever ever ever getting back together like ever verse 2 im really gon na miss picking fights falling screaming im right would hide away find peace mind indie record thats much cooler mine precious ooh called tonight ooh time im telling im telling chorus never ever ever getting back together never ever ever getting back together go talk friends talk friends talk talk never ever ever ever getting back together might also ooh yeah ooh yeah ooh yeah oh bridge used think forever ever used say never say never ugh calls hes like still love im like im mean exhausting know like never getting back together like ever chorus never ever ever getting back together never ever ever ooh getting back together go talk friends talk friends talk never ever ever ever getting back together outdo ooh getting back together ooh oh getting back together yeah ooh go talk friends talk friends talk talk never ever ever ever getting back
1989,WelcometoNewYork,2014,186779741,197829,walking crowd village aglow kaleidoscope loud heartbeats coats everybody wanted something searching sound hadnt heard said chorus welcome new york waiting welcome new york welcome new york welcome new york waiting welcome new york welcome new york new soundtrack could dance beat beat forevermore lights bright never blind welcome new york waiting welcome new york welcome new york verse 2 first dropped bags apartment floors took broken hearts put drawer everybody someone else want want boys boys girls girls chorus welcome new york waiting welcome new york welcome new york welcome new york waiting welcome new york welcome new york new soundtrack could dance beat beat forevermore lights bright never blind welcome new york new york waiting welcome new york welcome new york bridge like great love keeps guessing like real love overcharging like true love drives crazy know wouldnt change anything anything anything chorus welcome new york waiting welcome new york welcome new york welcome new york waiting welcome new york welcome new york new soundtrack could dance beat lights bright never blind welcome new york new soundtrack waiting welcome new york lights bright never blind welcome new york bright never blind welcome new york welcome new foryou might also
Fearless,WhiteHorse,2008,101063047,30921,say your sorry face angel comes need paced back forth time cause honestly believed holding days drag stupid girl shoulda known shoulda known chorus im princess aint fairytale im one youll sweep feet lead stairwell aint hollywood small town dreamer went let late white horse come around verse 2 maybe naive got lost eyes never really chance mistake didn't know love fight upper hand many dreams happy endings know chorus im princess aint fairytale im one youll sweep feet lead stairwell aint hollywood small town dreamer went let late white horse come around might also knees begin forgiveness begin like always wanted im sorry chorus cause im princess aint fairytale im gon na find someone someday might actually treat well big world small town rear view mirror disappearing late white horse late white horse catch outdo oh whoa whoa whoa try catch oh late catch
1989,WildestDreams,2014,741965255,678851,said lets get town drive city away crowds thought heaven cant help nothing lasts forever gon na take precious hes tall handsome hell hes bad well see end begins one condition chorus say youll remember standin nice dress staring sunset babe red lips rosy cheeks say youll see even wildest dreams ah ha wildest dreams ah ha verse 2 said one know hands hair clothes room voice familiar sound nothin lasts forever gettin good precious hes tall handsome hell hes bad well weve last kiss last request chorus say youll remember standin nice dress staring sunset babe red lips rosy cheeks say youll see even wildest dreams ah ha wildest dreams ah ha might also youll see hindsight tangled night burning someday leave bet memories follow around youll see hindsight tangled night burning burning someday leave bet memories follow follow around follow around breakdown say youll remember standing nice dress staring sunset babe red lips rosy cheeks say youll see even pretend chorus say youll remember standin nice dress staring sunset babe red lips rosy cheeks say youll see even pretend pretend wildest dreams ah ha ah wildest dreams ah ha even wildest dreams ah ha wildest dreams ah
Evermore,willow,2020,588058567,489660,im like water ship rolled night rough surface cut like knife case never wouldve known look face lost current like priceless wine chorus say less know wherever stray follow im begging take hand wreck plans thats man verse 2 life willow bent right wind head pillow could feel sneaking mythical thing like trophy champion ring one prize id cheat win chorus say less know wherever stray follow im begging take hand wreck plans thats man know train could take home anywhere else hollow im begging take hand wreck plans thats man might also life willow bent right wind count time time life willow bent right wind come back stronger is trend verse 3 wait signal ill meet dark show places others gave scars case guess shouldve known look face every work art chorus say less know wherever stray follow im begging take hand wreck plans thats man know train could take home anywhere else hollow im begging take hand wreck plans thats man say less know wherever stray follow im begging take hand wreck plans thats man know train could take home anywhere else hollow im begging take hand wreck plans thats man outdo hey thats man thats man yeah thats man every work art thats man hey thats man im begging take hand wreck plans thats
Fearless,YouBelongWithMe,2008,512071522,427197,your phone girlfriend shes upset shes going something said cause doesn't get humor like im room typical tuesday night im listening kind music doesn't like shell never know story like precious wears short skirts wear shirts shes cheer captain im bleachers dreaming bout day wake find your looking whole time chorus could see im one understands along cant see belong belong verse 2 walking streets workout jeans cant help thinking ought laughing park bench thinking hey isn't easy youve got smile could light whole town havent seen since brought say your fine know better hey whatcha girl like might also wears high heels wear sneakers shes cheer captain im bleachers dreaming bout day wake find your looking whole time chorus could see im one understands along cant see belong standing waiting back door time could know baby belong belong bridge oh remember driving house middle night im one makes laugh know your bout cry know favorite songs tell bout dreams think know belong think know chorus cant see im one understands along cant see belong standing waiting back door time could know baby belong belong outdo belong ever thought maybe belong belong
Lover,YouNeedToCalmDown,2019,730237796,384579,somebody dont know your takin shots like patron im like damn 7 say street thats knockout say tweet thats colour im like hey okay precious aint tryna mess ive learned lesson stressing obsession bout somebody else fun snakes stones never broke bones chorus ooh ooh ooh ooh ooh need calm your loud im like ooh ooh ooh ooh ooh oh need stop like step gown need calm verse 2 somebody dont know your comin friends like missile mad could glad could glad sunshine street parade would rather dark ages makin sign must've taken night precious need take several seats try restore peace control urges scream people hate cause shade never made anybody less gay chorus ooh ooh ooh ooh ooh need calm your loud im like ooh ooh ooh ooh ooh oh need stop like step gown need calm might also see internet comparing girls killing figured know got crowns need calm chorus ooh ooh ooh ooh ooh need calm need calm your loud your loud im like ooh ooh ooh ooh ooh oh need stop stop like step gowns need calm
